zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i]  LE[j]   LSbc[j]
0.8750	0.0000	0.0	0.005	2.754e+01	6.779999999999998	6.789999999999999	7.238e+11	244000000000.0	243900000000.0	27.09429	13.36183	014822.62+132142.6	27.094254	13.361869	0.875	9.285028570214587	0.02254831563575977	46.28334989709176	-1.1415577595240638  3.125e+44 0.0
0.8960	0.0132	0.0034000000000000002	0.0034999999999999996	7.833e+00	0.025000000000000355	0.0259999999999998	3.683e+11	1200000000.0	1200000000.0	27.20471	28.0541	014849.12+280314.8	27.204703	28.05412	0.896	8.752329041442804	0.04100847255934474	45.371682020768404	-1.5205261070756377  9.619e+44 0.0
0.8930	0.0000	0.0	0.005	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	27.22965	-6.92012	014855.12-065512.1	27.229681	-6.9200483	0.893	8.216668231954694	0.124857776064611	44.826935337689754	-1.529611980666177  0.0 1.761e+45
0.8050	0.0256	0.006700000000000001	0.006599999999999998	4.649e+00	0.3049999999999997	0.30400000000000027	2.186e+11	14300000000.0	14300000000.0	27.71169	10.19287	015050.82+101134.2	27.711778	10.192849	0.805	9.110999319871306	0.06914584483508739	45.369403124643526	-1.881475281629017  0.0 1.971e+45
0.8792	0.0000	0.0	0.005	7.582e+00	0.359	0.359	6.606e+11	31300000000.0	31300000000.0	28.34454	-0.31994	015322.68-001911.7	28.344531	-0.31991188	0.8792	9.114688140748905	0.05880050877738834	45.75905671269785	-1.4955105144522938  1.159e+45 0.0
0.8584	0.0077	0.002	0.002	0.000e+00	0.0	0.01	1.009e+11	7020000000.0	7000000000.0	28.50526	0.78617	015401.26+004710.2	28.505278	0.78616005	0.8584	8.466054021941426	0.06753844008260283	45.530058873545244	-1.0758742347974197  1.549e+45 0.0
0.8110	0.0403	0.010500000000000002	0.010499999999999995	0.000e+00	0.0	0.01	2.680e+11	16200000000.0	16100000000.0	28.60227	20.32367	015424.55+201925.2	28.602321	20.323668	0.811	8.408562443109554	0.0810508019859151	45.27603517571072	-1.272406353800074  0.0 8.211e+44
0.8470	0.0198	0.005100000000000002	0.0052	1.447e+01	3.6400000000000006	3.630000000000001	2.966e+11	11900000000.0	11900000000.0	29.81227	26.4846	015914.94+262904.5	29.812267	26.484597	0.847	8.629640839222567	0.24504341900282453	45.17274543671218	-1.5967744889116275  3.482e+44 0.0
0.8420	0.0322	0.008399999999999998	0.008399999999999998	4.116e+01	0.3199999999999932	0.3200000000000003	5.506e+11	4300000000.0	4200000000.0	29.96693	28.58407	015952.05+283502.4	29.966905	28.584012	0.842	8.282272274570376	0.31989764529346415	45.63098651532675	-0.7911648456448666  0.0 1.32e+45
0.8820	0.0000	0.0	0.005	4.597e+01	3.6700000000000017	3.6700000000000017	3.798e+11	30300000000.0	30400000000.0	30.1936	13.33866	020046.46+132018.9	30.193622	13.338596	0.882	8.985419905950108	0.09028831598863253	46.04429381657872	-1.0810051757726227  0.0 1.495e+45
0.8920	0.0000	0.0	0.005	2.124e+01	3.1099999999999994	3.110000000000003	1.726e+11	58800000000.0	58700000000.0	31.04021	31.62005	020409.64+313711.9	31.04021	31.619989	0.892	9.010160170672286	0.10143747272317037	45.638955321464486	-1.5110839356090369  1.788e+44 3.334e+44
0.8616	0.0000	0.0	0.005	0.000e+00	0.0	0.01	3.500e+11	2700000000.0	2700000000.0	31.38939	4.5598	020533.44+043335.3	31.389341	4.5598326	0.8615997	8.345448849663603	0.02246500038940521	45.16407207848538	-1.3212558575794573  0.0 2.006e+45
0.8140	0.0343	0.008999999999999998	0.008900000000000005	2.060e+01	0.9800000000000004	0.9799999999999969	2.733e+11	79300000000.0	79200000000.0	31.41378	1.53395	020539.31+013202.0	31.413793	1.5339069	0.814	8.418456401880878	0.05673837741653533	45.238083059505705	-1.3202524287764101  0.0 7.212e+44
0.8755	0.0794	0.0208	0.0208	6.729e+00	0.18599999999999994	0.18700000000000028	1.768e+11	4900000000.0	4900000000.0	32.22224	1.0306	020853.33+010150.1	32.222256	1.0306065	0.8755	8.464576287354665	0.2097824080598611	45.39416971554858	-1.2102856582073243  0.0 0.0
